Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
DE;DE7110258101;9609;DE;DE2190558436;12521947;102;708774;1355558
DE;DE2190115561;4711;DE;DE2190564792;96486135;557;1731491;2615217
DE;DE2190134054;7022;DE;DE2190582165;7252683;89;607524;268373
DE;DE7050097372;2651;DE;DE2190616255;16920508;152;2587989;3206775
DE;DE2190078893;6831;DE;DE2190633101;246628681;48;5867032;12659407
DE;DE2190394104;7111;DE;DE2190633101;21467769;141;755454;7209694
DE;DE2190570579;2893;DE;DE2190664406;29582963;142;574596;2375747
DE;DE7090085387;6201;DE;DE2190664768;22534314;192;383024;2993666
AT;AT9110271816;7010;DE;DE2190689548;77688;41;1009083;-12807
DE;DE2210010701;2825;DE;DE2210008617;47451033;280;5776568;-1892888
CZ;CZ26243831;2229;DE;DE2210025853;1100215;38;600192;-57786
DE;DE2210026459;4322;DE;DE2210059978;8251569;64;230007;47226
DE;DE2210127446;4719;DE;DE2210062297;49765331;351;528;2834700
DE;DE2210127447;4719;DE;DE2210062297;58920412;414;1051;2916840
DE;DE2210140792;4321;DE;DE2210073310;806272;10;65463;89908
PL;PL530989182;2740;DE;DE2210073310;20238164;400;4257774;73272
DE;DE2210009781;5229;DE;DE2210109631;12379466;96;2459774;507842
DE;DE2210141562;8299;DE;DE2210164331;7377482;12;69648;396998
DE;DE2210172315;6400;DE;DE2210172400;569861;1;5301;336561
CZ;CZ27088219;2562;DE;DE2210192161;10391162;150;10069211;-19974
DE;DE2210081911;2899;DE;DE2210192161;5019177;31;399154;579794
DE;DE2210115345;2932;DE;DE2210192161;68892722;244;11433383;438455
DE;DE3270137484;2932;DE;DE2210192161;11088036;93;14441485;1060745
DE;DE3370029188;2815;DE;DE2210192161;55065264;249;42404311;1013554
DE;DE2230019046;6810;DE;DE2230000892;520155;3;160050;122411
DE;DE3490011806;4120;DE;DE2230000892;12156650;79;1416200;113821
DE;DE2230002716;4510;DE;DE2230002720;38983246;96;2026155;103402
DE;DE2230002726;4510;DE;DE2230002720;12998484;25;939151;148329
DE;DE2230016344;6820;DE;DE2230002720;2589760;19;1911986;-252217
DE;DE2230026151;4510;DE;DE2230002720;4220519;25;591554;408407
