Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
FR;FR379821846;4120;n.a.;WW*20299846;3220449;1;1;63795
FR;FR384577284;4120;n.a.;WW*20299846;374978;10;46541;6129
FR;FR404759748;4120;n.a.;WW*20299846;467961;13;34613;31362
FR;FR413857939;5510;n.a.;WW*20300297;4419060;19;2259532;729102
FR;FR383696796;4669;n.a.;WW*20300478;1766331;1;578936;-69304
FR;FR448400481;2420;n.a.;WW*20301397;7540000;1;114349;327269
FR;FR637220641;2612;n.a.;WW*20302519;4812345;48;556427;170438
FR;FR384058574;9601;n.a.;WW*20302528;1332292;26;473915;46127
FR;FR301075131;4669;n.a.;WW*20302633;1648227;1;34671;-172784
FR;FR317289957;4644;n.a.;WW*20302633;10925245;1;262234;42696
FR;FR513272633;4778;n.a.;WW*20302633;2333051;1;70997;-29171
FR;FR512174848;6820;n.a.;WW*20304114;75000;1;99560;-20862
FR;FR440137818;7820;n.a.;WW*20307977;4639182;157;13230;169166
FR;FR440137982;7820;n.a.;WW*20307977;7205893;241;24805;215031
FR;FR440138105;7820;n.a.;WW*20307977;8476355;310;19588;447153
FR;FR440138212;7820;n.a.;WW*20307977;3101888;120;25117;29262
FR;FR440138733;7820;n.a.;WW*20307977;4829879;172;9749;109392
FR;FR440138840;7820;n.a.;WW*20307977;6247492;239;15816;258243
FR;FR441388311;7820;n.a.;WW*20307977;6032586;213;7328;287641
FR;FR442424560;7820;n.a.;WW*20307977;958816;27;3759;-56478
FR;FR448805333;7820;n.a.;WW*20307977;4984712;196;22411;194710
FR;FR412603417;5224;n.a.;WW*20308263;9358056;79;3439025;-580175
FR;FR662040427;1107;n.a.;WW*20311986;680730;1;3545583;38840
FR;FR333171544;1721;n.a.;WW*20312920;11152843;65;1075117;-93120
FR;FR408570232;9524;n.a.;WW*20313622;723447;6;5149;19010
FR;FR388151318;4631;n.a.;WW*20314088;21297547;5;77561;369861
FR;FR344350111;4652;n.a.;WW*20314830;8181023;25;119966;-197306
FR;FR388260135;4321;n.a.;WW*20314830;600374;5;6980;23261
BE;BE0459561848;4641;n.a.;WW*20317780;20116001;31;1166567;2206315
FR;FR389623760;4719;n.a.;WW*20322204;366299;4;21735;-42060
FR;FR401926043;4778;n.a.;WW*20322204;276703;3;19619;-6595
FR;FR389657958;4641;n.a.;WW*20322379;4929291;1;1435685;87934
FR;FR389772575;4331;n.a.;WW*20323038;3893403;18;58195;46260
FR;FR389792052;8291;n.a.;WW*20323151;7256645;1;297123;383124
FR;FR509995593;5229;n.a.;WW*20323941;1473523;13;36041;24952
FR;FR308017128;4312;n.a.;WW*20325215;740175;7;58502;9793
FR;FR349547679;4312;n.a.;WW*20325215;3757393;30;55217;13146
FR;FR392219705;4399;n.a.;WW*20325215;1028476;15;38861;-43314
FR;FR452309008;4312;n.a.;WW*20325215;2064063;12;239;16608
FR;FR513555136;2363;n.a.;WW*20325215;1909306;4;5165;-118906
FR;FR751722430;6820;n.a.;WW*20325215;164212;1;13084;-18398
FR;FR316523273;4673;n.a.;WW*20327046;7912804;33;202911;199729
FR;FR395301476;1812;n.a.;WW*20328407;186276;1;29890;-45128
FR;FR732820592;6820;n.a.;WW*20329111;1158775;1;3916516;504812
FR;FR350419537;7711;n.a.;WW*20329625;3399000;2;1195137;13389
FR;FR403017254;4511;n.a.;WW*20329625;95644981;121;1618510;541763
FR;FR445346034;6420;n.a.;WW*20329625;1;1;1;-860757
FR;FR445346075;6420;n.a.;WW*20329625;1;1;1;1158232
FR;FR445346117;4511;n.a.;WW*20329625;32709962;40;109039;-455247
FR;FR449215011;4511;n.a.;WW*20329625;39292055;53;103500;406410
FR;FR449395714;6420;n.a.;WW*20329625;1;1;1;10086
FR;FR450121827;4532;n.a.;WW*20329625;35113437;72;47001;449402
FR;FR555650225;4511;n.a.;WW*20329625;28059166;46;191316;-75997
FR;FR619200207;4511;n.a.;WW*20329625;26690830;40;250981;-21435
