GUO;Country ISO code
IN30033FI;GB
IN30043FI;FR
IN30050FI;GB
IN30069FI;GB
IN30073FI;FI
IN30081FI;GB
IN30083FI;ES
IN30131FI;DE
IN30183FI;AT
IN30254FI;PL
IN30351FI;BE
IN30385FI;NL
IN30387FI;GB
IN30399FI;LU
IN30401FI;GB
IN30416FI;NL
IN30436FI;NL
IN30462FI;FR
IN30505FI;FR
IN30516FI;GB
IN30571FI;FR
IN30608FI;DE
IN30691FI;GB
IN30699FI;DE
IN30853FI;FR
IN30916FI;DE
IN30926FI;NL
IN30933FI;GB
IN30944FI;NL
IN30968FI;SE
IN30981FI;DE
IN31027FI;DE
IN31345FI;GB
IN31438FI;GB
IN31476FI;NL
IN31496FI;ES
IN31524FI;ES
IN31655FI;DE
IN32481FI;NL
IN32762FI;LU
IN32826FI;GB
IN33327FI;GB
IN33562FI;GB
IN33626FI;GB
IN33828FI;GB
IN34001FI;GB
IN34746FI;GB
IN46927;ES
IQ*110019308684;CZ
IR*1041245856;FR
IR*1045325388;FR
IS*110006787337;LV
IS*110014503284;LV
IS*610082418;DK
IS*B000029872;GB
IS4112050100;LV
IS4302100250;LT
IS4506973469;GB
IS4903070790;SE
IS5402912259;GB
IS5511022030;NL
IS5602710189;GB
IS5608820419;GB
IS6204830369;DK
IS6403881109;GB
IS6511090510;FR
IS6704002390;GB
IS6904090460;GB
JM30015WJ;GB
JM30019WJ;NL
JP*1253534;GB
JP000000665JPN;BE
JP000000672JPN;BE
JP000000674JPN;SE
JP000000678JPN;BE
JP000000679JPN;DE
JP000000680JPN;FR
JP000000684JPN;GB
JP000000687JPN;GB
JP000000692JPN;GB
JP000000701JPN;BE
JP000000703JPN;NL
JP000000714JPN;GB
JP000000721JPN;BE
JP000000722JPN;GB
JP000000728JPN;GB
JP000000730JPN;DK
JP000000746JPN;GB
JP000000753JPN;DE
JP000000756JPN;GB
JP000000768JPN;DE
JP000000771JPN;GB
JP000000778JPN;FR
JP000000791JPN;PT
JP000000792JPN;FR
JP000000801JPN;DE
JP000000807JPN;DE
JP000000814JPN;BE
JP000000817JPN;FR
JP000000818JPN;DE
JP000000822JPN;BE
JP000000823JPN;NL
JP000000826JPN;DK
JP000000837JPN;GB
JP000000838JPN;NL
JP000000843JPN;GB
JP000000855JPN;IE
JP000000857JPN;GB
JP000000859JPN;BE
JP000000860JPN;DE
JP000000863JPN;DE
JP000000871JPN;ES
JP000000874JPN;NL
JP000000879JPN;CZ
JP000000885JPN;AT
JP000000887JPN;GB
JP000000894JPN;GB
JP000000906JPN;GB
JP000000908JPN;DE
JP000000911JPN;FR
JP000000913JPN;NL
JP000000924JPN;GB
JP000000926JPN;GB
JP000000930JPN;FR
JP000000932JPN;GB
JP000000933JPN;DK
JP000000936JPN;GB
JP000000941JPN;GB
JP000000947JPN;DE
JP000000955JPN;FR
JP000000959JPN;GB
JP000000962JPN;GB
JP000000968JPN;DE
JP000000975JPN;GB
JP000000981JPN;GB
JP000000990JPN;DE
JP000000994JPN;GB
JP000000997JPN;DE
JP000000999JPN;FR
JP000001009JPN;GB
JP000001011JPN;BE
JP000001014JPN;GB
JP000001016JPN;DE
JP000001025JPN;ES
JP000001032JPN;AT
JP000001035JPN;AT
JP000001055JPN;NL
JP000001066JPN;FR
JP000001071JPN;DE
JP000001073JPN;BE
JP000001079JPN;SE
JP000001080JPN;DE
JP000001090JPN;DE
JP000001092JPN;ES
JP000001096JPN;DE
JP000001099JPN;DE
JP000010137JPN;FR
JP000020024JPN;FR
JP000020732JPN;GB
JP000020747JPN;BE
JP000020763JPN;NL
JP000020764JPN;GB
JP000020767JPN;ES
JP000030033JPN;GB
JP000030042JPN;DE
JP000030124JPN;GB
JP000030175JPN;GB
JP000030283JPN;BE
JP000030286JPN;GB
JP000030301JPN;GB
JP000030400JPN;DE
JP000030404JPN;DE
JP000030411JPN;GB
JP000030462JPN;GB
JP000030493JPN;DE
JP000030510JPN;GB
JP000030527JPN;GB
JP000030540JPN;FR
JP000030548JPN;FR
JP000030560JPN;FR
JP000030675JPN;FR
JP000030815JPN;DE
JP000030830JPN;DE
JP000030961JPN;DE
JP000030970JPN;DK
JP000031001JPN;FR
JP000031579JPN;DE
JP000031593JPN;GB
JP000031726JPN;ES
JP000031908JPN;IE
JP000031913JPN;BE
JP000031941JPN;GB
JP000032510JPN;BE
JP000032532JPN;GB
JP000033511JPN;NL
JP000033559JPN;ES
JP000033568JPN;DE
JP000040207JPN;GB
JP000090002JPN;GB
JP000090011JPN;DK
JP000090015JPN;GB
JP000090171JPN;GB
JP000090207JPN;NL
JP000090242JPN;FR
JP000090316JPN;DE
JP000090344JPN;DE
JP000090508JPN;DE
JP000090521JPN;DE
JP000090639JPN;BE
JP000090692JPN;GB
JP000090740JPN;DE
JP000090741JPN;NL
JP000090821JPN;GB
JP000091011JPN;FR
JP000091014JPN;GB
JP000091015JPN;NL
JP000091018JPN;GB
JP000776096S;DE
JP007495096S;ES
JP013646096S;DE
JP138832217S;GB
JP162354596S;GB
JP16263;IE
JP18877;GB
JP19841;GB
JP247495096S;NL
JP275346096S;FR
JP33086;GB
JP335086096S;NL
JP385458096S;NL
JP40881;IE
JP447055096S;GB
JP531775096S;GB
JP590265096S;DE
JP611475096S;PL
JP633236096S;GB
JP659698096S;CZ
JP719853296S;GB
JP773051396S;FR
JP847354396S;PL
JP873617096S;GB
JP919366096S;FR
JP937775096S;GB
JP940113496S;GB
JP980575096S;BE
JP996029096S;FR
JPFEI1014863;GB
KN*B000061697;GB
KN*B000068906;GB
KR*492196962;SK
KR1101110003965;FR
KR1101110030497;DE
KR1101110037998;ES
KR1101110076300;BE
KR1101110085450;DE
KR1101110139017;GB
KR1101110578231;DE
KR1101112487050;NL
KR1146710001753;NL
KR1201110234469;FR
KR1201110397241;GB
KR1301110006246;DE
KR1345110144268;GB
KR1942110000943;DE
KW0000380008;NL
KW30009GK;GB
KW30181GK;GB
KW30196GK;FR
KW90024GK;DE
KY*B000009090;GB
KY*B000018600;GB
KY*B000037592;GB
KY*B000039218;GB
KY*B000042126;GB
KY*B000056636;GB
KY*B000058004;IE
KY*B000058807;GB
KY*B000061762;GB
KY*B000071105;GB
KY*B000071117;GB
KY*B000072028;GB
KY*B000074145;GB
KY*B000076329;GB
KY*B000078659;GB
KY*B000080668;GB
KY*B000086379;GB
KY*B000089254;GB
KY*B000089548;GB
KY*B000090663;GB
KY*S00173563;GB
KY30057FH;GB
KY30180WB;NL
KY30656NU;GB
KY30932FH;IE
KY30997FH;GB
KY33868EX;BE
KY35755;GB
KY40002WB;FR
KY40071WB;ES
